order_id,payment_sequential,payment_type,payment_installments,payment_value,payment_diff
LARRQkCjz5Fs,1,credit_card,7,150.98,276.96000000000004
70G4cTVwm38h,1,wallet,1,228.11,-115.14000000000001
8LfYKHvDTqIN,1,credit_card,10,37.45,1584.5
D2X7rxN9EsBw,1,credit_card,4,96.86,-37.6
HOFJukOFU41j,2,credit_card,2,54.62,86.37
uApWp6b4k8Y5,1,credit_card,1,59.22,-21.57
7L8qUUgsbhXY,1,credit_card,2,209.81,30.04000000000002
PvRgo7CeEN4f,1,credit_card,10,638.55,-550.0
aDxB5SgA7C4q,1,credit_card,3,0.33,36.910000000000004
AHI2VGgmwKwA,1,wallet,1,208.07,-64.38999999999999
0gxtU32XLhDR,1,credit_card,3,1.22,351.25999999999993
NqkFWmoEkOni,1,credit_card,6,303.46,214.45999999999998
uT2NLXe4uIbX,1,credit_card,2,85.52,-1.4699999999999989
csNKQHT4LjSP,1,wallet,1,96.64,-58.53
ff6LV2J7cd1m,1,wallet,1,451.23,-342.94000000000005
2DhVqmEuKWsy,2,voucher,1,333.6,209.32999999999993
Xz9xN4y9ehaz,1,wallet,1,123.57,-41.22
ME2UeeIZeHQQ,1,credit_card,1,217.37,-163.57
Y8qzXFVs2NdT,1,credit_card,3,138.65,54.31999999999999
O9usX12ihwJ4,1,wallet,1,284.81,-225.73000000000002
UnPOaR1OCnNc,1,credit_card,1,408.66,-75.65000000000003
BERp5cg4oEws,1,credit_card,5,231.76,-179.76999999999998
BtFtgxewQU3o,1,credit_card,1,32.64,1878.6399999999999
KZQpsmctCSfS,1,credit_card,3,111.66,1034.0399999999997
g9qI3z1YAvNw,1,credit_card,1,606.48,-1.9800000000000182
aMzeNC1KCVOQ,1,credit_card,2,1148.75,-767.1
dZuZBawSN57o,1,credit_card,5,183.4,52.41
nKbHlRgVGlF3,1,credit_card,8,236.92,936.7499999999999
P09ArFA0BZRP,1,wallet,1,343.54,103.20999999999998
XbYUfEsyagnN,1,voucher,1,419.44,-369.19
mofZTSTPPWxE,1,credit_card,2,41.15,28.339999999999996
rUQbmLj5M2QE,1,credit_card,1,114.79,53.469999999999985
QFwMop3sFZ9H,1,credit_card,4,113.71,33.88000000000001
hYDthrOpadOc,1,credit_card,1,126.72,-36.28
TTBF9yOgN5EH,1,credit_card,5,254.19,546.1400000000001
F9i3hpJUc5HJ,1,credit_card,3,70.61,336.32
PzBniksLzOcM,1,wallet,1,517.24,-428.28
UWss0GYyCTJq,1,credit_card,1,550.83,-204.62000000000006
9fJpRKgzGYmY,1,credit_card,2,463.15,-258.65999999999997
FyxzH1mhMBKM,1,credit_card,1,216.74,57.81
91fTReRt3k2s,1,credit_card,1,242.66,-189.59
4BKIy9ysy6d8,1,credit_card,1,236.77,914.5899999999999
EztPEldn1Aha,1,credit_card,4,317.31,-55.670000000000016
4WCFUeAivvDG,1,credit_card,8,144.18,-2.5999999999999943
3VPXNauA1hA6,1,credit_card,1,121.64,6.459999999999994
jMFLFVfabNrH,1,credit_card,6,106.43,89.0
PhYGGGCiQHKD,1,credit_card,6,184.46,-26.230000000000018
RAhrqqxcXgA5,1,wallet,1,168.24,631.93
lFLPAbeUgKTV,1,credit_card,8,70.07,-15.929999999999993
P6bxg4N8Cw1J,1,credit_card,2,195.44,711.8900000000001
YykeWYFjVZYE,1,credit_card,1,93.73,471.73
dHuy4so1fO7s,1,credit_card,1,171.04,384.78999999999996
bIVFvWVIw4jq,1,credit_card,1,53.69,56.629999999999995
tflNP98YJXRM,1,wallet,1,388.25,-208.12
iThcgEagJGvM,1,credit_card,1,1200.0,-1048.49
MnaiNSJ6870y,1,credit_card,5,71.34,715.75
pvWUa3UvgInr,1,wallet,1,988.87,-559.6800000000001
39TPZFziHhP2,1,debit_card,1,427.77,-297.21
afDRwL1WXpA1,1,credit_card,2,1692.05,-1564.34
QBEax8koxs19,1,wallet,1,721.74,-301.64000000000004
CtAfWF8UkMCP,1,credit_card,1,451.75,-231.78
V4JFkZwCu5hF,1,credit_card,5,137.22,466.42999999999995
qwPG85b508Td,1,credit_card,4,336.32,-131.07999999999998
pLnMJMmel09E,1,credit_card,2,343.54,103.20999999999998
7PvMPzzIkey5,1,credit_card,1,125.86,308.28
yWHy7JXGvc0Z,1,credit_card,7,114.84,290.72
GKjyAxdPwdIc,1,wallet,1,1381.83,-1227.4199999999998
SZIajujwn1Oo,1,credit_card,6,474.37,-139.66000000000003
KL9BlcRxTqHu,1,credit_card,10,364.75,-294.01
PULq31I4UKo4,1,credit_card,1,255.93,59.77999999999997
Y0bGpsoT1Vhh,1,credit_card,1,245.57,-194.37
7LgpFGaazYyl,1,credit_card,5,158.71,321.58000000000004
88cwXsdwdeEH,1,credit_card,1,94.85,224.07000000000002
r7702612Pdfh,1,wallet,1,195.0,-14.76000000000002
JhSAOXXtYcdN,1,wallet,1,8.32,149.28
lq2t00ICp3Em,1,credit_card,1,359.71,-67.77999999999997
6nNyBTWOOOFA,1,credit_card,3,43.6,15.969999999999992
15IH5WU11wIZ,1,credit_card,3,819.47,-782.21
ouRLjr6NSysJ,1,wallet,1,95.01,-7.760000000000005
yDLykPwUGtqM,1,wallet,1,449.79,-310.22
GHfebQ8QpH8l,1,credit_card,1,223.93,-56.69
7XvMI5cx5mU0,1,credit_card,3,192.45,-13.569999999999993
XDE3dFQJPztt,1,credit_card,10,44.8,144.71999999999997
dix4hRLqxcfL,1,wallet,1,2033.48,-1872.32
4W3f1ahNdmTs,1,credit_card,1,520.02,-416.84
xljf54RoX9JP,1,wallet,1,6.57,220.22
2rs8IUIAS4rL,1,credit_card,4,125.02,28.61999999999999
B8V4EaW2eSh0,1,credit_card,3,101.01,1.1099999999999994
FwheKtHhpBN2,1,credit_card,2,56.11,78.76
tPTCcbVjRfc3,1,credit_card,1,96.77,330.0
TGt9bWN79Nqz,1,credit_card,1,65.21,79.54
qJjvfYu6Y4fm,1,credit_card,1,232.27,333.26
JT0oXIkh4Gzh,1,voucher,1,123.97,398.5799999999999
yr2H21aRoD3h,1,credit_card,1,193.73,277.35
3kStl9hl8CfT,1,credit_card,9,144.17,51.99000000000001
HG9ftAgQxhF4,1,credit_card,4,61.31,1363.23
sm0ZEnWNt7qQ,1,credit_card,1,91.3,28.64999999999999
KuKfiKKJLTwK,1,credit_card,4,470.5,-414.11
0JDo7VjW8fwo,1,credit_card,1,1028.3,-114.70999999999992
0HR2Bu3Sp4gp,1,credit_card,4,414.46,-350.46999999999997
3BfkNOSXE9fK,1,credit_card,2,16.78,173.44
5WmmehR17vqk,2,voucher,1,131.31,249.63
GRirh1b2z6Y3,1,wallet,1,42.91,79.24000000000001
67qinzyPqskj,1,credit_card,1,15.58,541.2299999999999
SSIHiYAn9TpY,1,credit_card,6,134.88,-53.83999999999999
r6X1vpADLMvm,1,credit_card,5,228.57,-65.43
FEIP98BAAYWW,1,credit_card,5,353.92,1267.4199999999998
qlbb5qUbmXnJ,4,voucher,1,85.24,41.47
7ERc3mX6MCjK,1,wallet,1,191.11,526.12
Qnw2wAOmQylg,1,wallet,1,343.55,91.28000000000003
vU3xyuXEj2Ba,1,credit_card,4,63.99,502.16999999999996
Bie3bBbWriRw,1,credit_card,1,184.06,-27.72
XQYgG1JMLACG,1,credit_card,1,135.13,58.06999999999999
qZUh5hge1625,1,credit_card,5,22.27,890.58
hlpMgRkYTHdL,1,credit_card,4,43.98,-4.57
KwUxouAIwmnW,1,credit_card,8,99.75,33.900000000000006
Fl1jNEVLIouI,1,credit_card,5,216.27,-2.890000000000015
CbQkhuNUU3S3,1,wallet,1,228.67,652.6500000000001
tVdaOadCApSM,1,credit_card,2,312.62,86.02999999999997
G07cmuGKW2nd,1,credit_card,18,96.15,92.28999999999999
2Tdr9eDhdtIu,1,credit_card,1,236.29,-175.88
p6iWM5qft7BH,1,wallet,1,349.89,2185.9100000000003
oJ1LprF3qOBG,1,credit_card,1,25.58,167.66000000000003
ZJ852hQOuseH,1,credit_card,5,63.83,87.26
iHnDLespPUlT,1,credit_card,3,106.74,-68.3
9LyEELGHWgoP,1,credit_card,3,665.87,72.88999999999999
y8qmpWJzBTA5,1,credit_card,1,294.3,-79.75
MsJrJ9vfOmvF,1,wallet,1,147.23,-50.44999999999999
ItgUvaUVS9ws,1,credit_card,2,747.25,1855.21
2YWdoyxm7ge9,1,credit_card,9,345.29,-207.39000000000001
JDsexkka1RtD,1,credit_card,1,150.39,-67.61999999999998
Hoy9CyALWGZJ,1,credit_card,1,313.54,58.60999999999996
i3YWWZIz8fk7,1,wallet,1,203.52,-110.14000000000001
RM4M9i8Yn5x4,1,wallet,1,43.74,833.38
1oVrUY75oStu,1,credit_card,1,137.93,97.82999999999998
YuEmUNymzcGv,1,credit_card,4,1221.39,-693.96
kF1ka6uV5YnM,1,credit_card,2,689.66,-583.03
jkbVqP4aWneg,1,credit_card,4,554.49,-122.16000000000003
dxOwaxOE1nT0,1,credit_card,1,433.34,-221.48999999999995
qwLvLVlwqlcq,1,credit_card,3,579.0,1564.4799999999996
ulZ0mI7peyf7,1,credit_card,2,29.17,305.26
b2u1yVa2LdNK,1,credit_card,4,208.44,117.97000000000003
na3M0MEGCGf8,1,credit_card,1,198.78,90.80000000000004
vbRiAK2RZdlx,1,wallet,1,129.18,562.6600000000001
QHnQzNJRBS8w,1,credit_card,8,74.21,790.01
ZHsymoudGwgy,1,credit_card,8,39.67,62.709999999999994
7PK4NRV2nhjw,1,credit_card,2,927.87,-763.73
Ss9iY5xxCC5S,1,credit_card,1,128.93,39.609999999999985
FhbdaS77ToDk,9,voucher,1,13.48,75.44
ZgJAIFrZP7wi,1,credit_card,4,329.02,-269.76
DYDQgIcAmOCk,1,wallet,1,93.13,-0.46999999999999886
zhV4YwJcMaf6,1,credit_card,7,413.72,12.159999999999968
KWuqSsip5IPL,1,wallet,1,124.92,391.21999999999997
u6wIOFvJPMJx,1,wallet,1,125.51,-66.95
wILgQcnuMP8h,1,wallet,1,205.18,-124.9
cHueggO8i50e,1,credit_card,3,168.18,452.10999999999996
gwGItwZIp6b9,1,credit_card,1,100.17,-48.5
52dDBTqijGgS,1,wallet,1,804.72,-562.03
QfmncxTUYMeM,1,credit_card,6,201.3,452.35999999999996
t4Bk5mYUoL8U,1,credit_card,2,158.58,-60.040000000000006
RAwGupGDXwd5,1,credit_card,1,157.5,-131.57
XVYh21794I2q,1,credit_card,1,479.17,-399.44000000000005
T02ERQXo0cHk,1,wallet,1,242.44,-143.94
MoHhpMorkOQe,1,wallet,1,99.4,9.169999999999987
xvCjkl7oHF4p,1,credit_card,4,316.01,-114.07
NbPquApcLFZJ,1,credit_card,1,257.29,-178.10000000000002
bOw1sP6xIXEv,1,credit_card,1,149.33,30.329999999999984
V5N9aEmfprUb,1,credit_card,9,37.79,233.88000000000002
xhdUS3Lb7QvK,1,wallet,1,132.42,667.75
uleJoXLnjRWP,1,credit_card,4,59.96,312.07
AcBnJUivl9Dg,1,credit_card,3,30.66,387.2
ATdWeoeua8ai,1,credit_card,8,2.35,81.52000000000001
joyYy74OGHWZ,1,credit_card,1,361.07,-269.08
aqM0Dr00Ru7e,1,credit_card,3,138.94,236.04000000000002
su9qtpmYRRZ4,1,wallet,1,134.38,-93.81
QQkl6VprDdPC,2,voucher,1,33.48,183.07000000000002
70MKHgNqgYMn,1,credit_card,4,13.89,197.69
NwV6qaWsqsqx,1,credit_card,10,94.22,-41.629999999999995
Yg64phKM9oJa,1,credit_card,3,48.19,206.86
4T5ho4MRp4mJ,1,credit_card,4,3009.53,-195.34000000000015
I4h2Vl1Vy4vZ,1,credit_card,4,203.82,-89.96
gnVDCx1e4YD7,1,credit_card,3,404.44,-270.78999999999996
DtKD3sdpBpwJ,1,credit_card,1,112.7,239.52999999999997
ZN7DWjWqWQND,1,credit_card,10,73.01,5.409999999999997
6VKTocEU4N5n,1,wallet,1,76.14,34.44
1pVYIkz0eQfb,1,credit_card,1,420.76,-97.63
NDgEVmGllteq,1,credit_card,2,272.18,-164.46
CjC2wYcYXNMR,1,credit_card,5,72.18,94.88999999999999
IKNPNRlaS4PH,1,credit_card,3,35.03,221.29
gxecAzqugRRh,1,credit_card,1,152.25,334.78
uzwPcONTw6nT,1,credit_card,1,116.99,811.74
BP5PB2Da0Fhi,1,credit_card,8,313.99,-249.54000000000002
3wKSoQagZseT,1,credit_card,1,91.6,122.11000000000001
8eWU8keN9FXT,1,credit_card,1,68.22,218.17999999999998
obepRrkmejN1,1,credit_card,2,313.93,-162.25
M7QS4SdwfiNR,6,voucher,1,959.96,-661.1800000000001
qcxJY5K5rPBi,1,credit_card,10,102.13,309.74
zBGSaqk6atNi,5,voucher,1,704.32,-368.03000000000003
ogN2rxuWpNCK,1,credit_card,8,152.52,-48.99000000000001
SU37F2XoUDJm,1,credit_card,10,159.85,47.849999999999994
2O4VRzPhg02a,1,credit_card,4,88.76,-23.28
zMDPbvlnXGPI,1,credit_card,4,431.15,412.61
SkDe2m1n0yog,1,credit_card,2,87.36,36.16
yFIPmG5Qso5x,1,credit_card,2,225.03,197.88999999999996
PM660Hvl5ltN,1,wallet,1,220.27,107.6
GeOcwJMHVigj,1,credit_card,1,372.16,-316.42
jYQul2d9y89V,1,debit_card,1,12.5,46.86
mQr7ud7RxjFh,1,wallet,1,338.84,-119.09999999999997
IISLmGs2JnDH,1,credit_card,8,220.03,77.03999999999999
7fplap09K9uW,1,credit_card,3,389.16,-233.02000000000004
TOB9XNU1gV1f,1,credit_card,6,118.11,117.83
69R4LtM3Dkwy,1,debit_card,1,504.65,-362.71
uRWFD2jisRYY,1,credit_card,1,67.05,650.7700000000001
2bWGX09hpCzq,1,credit_card,1,18.23,814.05
w2wruPCem5Jb,1,credit_card,1,661.75,-477.95
SCbGP1HdX6RG,2,voucher,1,4.33,202.79999999999998
dm1S9vmqr74a,1,wallet,1,420.86,-242.83
oKFxBuViwhe7,3,voucher,1,145.48,8.110000000000014
3T9PiPDcq3cK,1,credit_card,6,662.62,-530.4200000000001
OFGFuIiesVzM,1,credit_card,10,53.81,485.05
fYRfJWDPpozD,1,credit_card,5,86.43,76.79999999999998
dRXwZhgcISmk,1,credit_card,10,133.1,133.79
YFisdGiOJ3Os,1,credit_card,3,2590.61,-2469.53
gVMHJHnYDmla,1,credit_card,2,90.74,88.14
Hl9PAWXsdmPU,1,credit_card,2,228.57,-65.43
8EmYv2JrQoVM,1,credit_card,10,211.44,527.3199999999999
ECV62MnnmTLX,1,wallet,1,1221.39,-693.96
4NRNwKsOveDT,1,credit_card,3,284.89,80.18
WLTmxfRLxDdY,1,credit_card,5,1378.79,-1242.04
yfKNH3zw6uaS,1,wallet,1,86.16,41.709999999999994
Dp4K8yh2l2kZ,1,credit_card,6,149.58,304.40999999999997
ANKr9b0fQOG1,1,credit_card,1,135.2,316.25
ucFzWwW4Vl7H,1,wallet,1,148.35,-9.47999999999999
iz8xwkPzbsgV,1,credit_card,4,213.98,102.02000000000001
Kc54kqG0Wpw8,1,credit_card,2,117.1,584.7099999999999
cgMyKDbuomMt,1,credit_card,1,92.8,450.12999999999994
FkANVps9FhLR,1,wallet,1,159.34,-101.03
7Y0OW6ELHx3i,1,wallet,1,210.43,228.01999999999998
D1OV1U2a3Dd9,1,credit_card,4,625.74,-500.32000000000005
ZNBlTjWkNiMH,1,credit_card,1,123.06,361.71999999999997
gHGTiMNfZcmq,1,credit_card,2,1351.94,-1225.05
Dy69GWcqgkqf,1,credit_card,4,581.3,-199.68999999999994
QwSOLcN5DDBN,1,wallet,1,240.1,-12.469999999999999
rlc5qsr3lw0i,1,wallet,1,60.38,78.49000000000001
1bZN4leiyzZ4,1,credit_card,1,151.14,-65.63999999999999
DUCbyz8Y4PXF,1,debit_card,1,242.99,-64.98000000000002
vPxoToV6CRId,1,credit_card,2,74.91,139.24
NTazQkCK4mha,1,wallet,1,178.2,33.390000000000015
TjF3h3fwXHmp,1,wallet,1,145.79,-8.509999999999991
EqBP17oa5BoZ,2,voucher,1,192.22,-72.43
KPHhhqVaXYdi,1,credit_card,1,419.06,-171.63
gJgR2JBSDnis,1,credit_card,4,58.9,121.47
331m4OTrDpnd,1,credit_card,4,335.77,-306.9
9hcMqNyHVfL9,1,credit_card,1,114.8,393.7
Es4nrInds5z1,1,credit_card,1,123.18,-84.08000000000001
nwjBTosPuevD,1,credit_card,2,10.27,149.39999999999998
jarjuWpL85e5,1,wallet,1,84.78,46.72999999999999
YktohNPMpWQU,1,credit_card,10,732.68,-601.3499999999999
lajv1hDHncw5,1,wallet,1,9.81,683.74
cchlhN4a6RjF,1,credit_card,3,1057.4,-958.5800000000002
UmAkM11j0kiw,2,voucher,1,154.12,335.95
kRiuUpaRSRej,1,credit_card,5,168.02,-5.920000000000016
LSUcOPGdyZYA,1,wallet,1,293.66,-118.28000000000003
XGCdHW22bmYg,1,credit_card,3,115.18,-38.05000000000001
7ggBH9rrPWbp,1,credit_card,1,152.03,597.27
lFU2gz4lUKB7,1,credit_card,2,912.55,-357.3299999999999
r3hALQT93EsB,1,credit_card,10,190.53,1456.09
DliowlQV2yV8,1,wallet,1,87.46,117.39999999999999
VGnTuPH9ikhV,1,credit_card,2,151.72,428.90999999999997
BEzrXmUJ6jSb,1,wallet,1,429.29,-327.95000000000005
AJotPdRaKwyY,1,credit_card,8,309.32,-169.82999999999998
uLmOgKmOLOZ9,1,credit_card,2,115.73,836.42
Nfrsb5Agsaby,1,credit_card,1,328.73,-267.19
8MaujlQxejKT,1,credit_card,3,27.76,883.5400000000001
0wKwjdY1z51U,1,credit_card,1,195.32,-46.870000000000005
8IWGm9dmvitQ,1,credit_card,5,99.68,43.0
Uvm3eqrT5PNd,1,wallet,1,202.68,357.03000000000003
JEVjyOfz3vRF,1,credit_card,3,44.7,1014.21
aCYHSPFKCaJ5,1,credit_card,3,126.96,38.65000000000002
iU5dRkT0UbRu,1,credit_card,1,600.3,146.31000000000006
JIjVStAX1OqF,1,credit_card,2,189.92,-11.539999999999992
y0i7sJkjdEnZ,1,credit_card,1,81.72,61.27000000000001
JTeAJcOZLKTU,1,credit_card,4,131.84,-42.94
lle7tPix4LOq,1,credit_card,10,110.92,194.16000000000003
URhgir8jvpA7,1,credit_card,10,492.92,73.86999999999995
sNzXLjJHimxW,1,credit_card,10,118.15,-10.960000000000008
ZDuilm8eBY8K,1,credit_card,1,113.66,2289.4300000000003
AQvbQzBW9VJT,1,credit_card,3,104.55,-71.07
RQIsWBWnB9m5,1,credit_card,1,449.79,-310.22
dq03LBuhzhir,1,credit_card,1,65.18,375.61999999999995
C8hRwTzyYNIc,1,wallet,1,149.46,14.71999999999997
yXSLbq8jJNLB,1,credit_card,1,248.1,504.52
geEz6xDLz5yY,1,credit_card,8,284.9,-85.78999999999996
C2sEixmhn3Bk,1,credit_card,6,167.52,408.5400000000001
AICU9CQf9zNO,1,wallet,1,406.6,-118.43000000000006
MxHsuryS8LDA,2,voucher,1,249.55,-106.93
LB95k1HA7Zcz,1,credit_card,5,521.56,-376.69999999999993
uwY1Cm3kWeg9,1,credit_card,10,522.34,32.91999999999996
FDCy2o1xPwo3,1,credit_card,1,365.78,232.16000000000008
8G2Uai1drYy5,1,credit_card,8,284.63,1117.29
