product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,weight_volume_ratio
lkPBqpnGNyKe,toys,650.0,36.0,15.0,25.0,13500.0,0.04814814814814815
saFIRNuu8V6H,toys,1500.0,20.0,30.0,30.0,18000.0,0.08333333333333333
uicu7Mpz6xlZ,toys,950.0,100.0,5.0,20.0,10000.0,0.095
uCnShK796Rpb,toys,1700.0,28.0,14.0,22.0,8624.0,0.1971243042671614
tRV6VjdwdLAm,toys,1500.0,40.0,30.0,30.0,36000.0,0.041666666666666664
Hwaj6cncrjwO,toys,1300.0,30.0,30.0,30.0,27000.0,0.04814814814814815
YgnBaIterOVh,toys,2650.0,16.0,16.0,62.0,15872.0,0.16696068548387097
SLTlrWtcYt1m,toys,1750.0,37.0,22.0,40.0,32560.0,0.05374692874692875
yZJweQSasMAW,toys,350.0,19.0,19.0,13.0,4693.0,0.07457916045173663
kgF2KLJ8Ao3M,toys,107.0,7.0,7.0,10.0,490.0,0.21836734693877552
8kUYWjdaVCxf,toys,250.0,41.0,2.0,29.0,2378.0,0.10513036164844407
QzAC1fDWMbmk,toys,100.0,11.0,11.0,11.0,1331.0,0.07513148009015777
R2u3pJSgF7Gr,toys,200.0,19.0,9.0,12.0,2052.0,0.09746588693957114
lSVmLWTOmgtw,toys,400.0,16.0,16.0,22.0,5632.0,0.07102272727272728
bDhxHlkU0GeF,toys,1100.0,22.0,21.0,16.0,7392.0,0.1488095238095238
MeFPAUcWfyAo,toys,1500.0,18.0,35.0,48.0,30240.0,0.0496031746031746
Mh5csf65CB6I,toys,900.0,28.0,29.0,12.0,9744.0,0.09236453201970443
hfEa3c65LTA2,toys,5950.0,20.0,20.0,20.0,8000.0,0.74375
Pb29t2XBfP6Q,furniture_decor,700.0,35.0,4.0,30.0,4200.0,0.16666666666666666
th6S1t44GAij,toys,1256.0,28.0,26.0,30.0,21840.0,0.057509157509157506
fUSMr8Wo77AI,toys,70.0,19.0,4.0,15.0,1140.0,0.06140350877192982
qI5i1mUxo5tX,fashion_shoes,400.0,29.0,7.0,16.0,3248.0,0.12315270935960591
VCOwCoc0C3aj,toys,1200.0,30.0,4.0,20.0,2400.0,0.5
f21OMkeWX2ZC,toys,30000.0,75.0,58.0,65.0,282750.0,0.10610079575596817
mKDM0qdFnNNd,toys,127.0,18.0,10.0,14.0,2520.0,0.0503968253968254
aZ1aneUqyncU,toys,125.0,19.0,5.0,11.0,1045.0,0.11961722488038277
ch26pynh9FL6,sports_leisure,1182.0,21.0,16.0,17.0,5712.0,0.20693277310924368
eTlPil30tvIn,toys,5950.0,20.0,30.0,80.0,48000.0,0.12395833333333334
htOWZMHmysDe,toys,14900.0,40.0,60.0,40.0,96000.0,0.15520833333333334
GJ4e2xEfaCmh,auto,75.0,17.0,8.0,13.0,1768.0,0.04242081447963801
EZlH1lJVfFqj,sports_leisure,1017.0,42.0,21.0,27.0,23814.0,0.04270597127739985
zTW2bowvLdj9,toys,100.0,19.0,2.0,19.0,722.0,0.13850415512465375
VO111AOA1QIP,baby,550.0,50.0,10.0,50.0,25000.0,0.022
mfq8n5MEY4eP,toys,378.0,21.0,14.0,14.0,4116.0,0.09183673469387756
TdryLJINHQ9O,toys,800.0,30.0,10.0,30.0,9000.0,0.08888888888888889
B2udqVNGe7sU,toys,300.0,30.0,15.0,15.0,6750.0,0.044444444444444446
IsLB3oNMsX7k,furniture_decor,8950.0,30.0,35.0,30.0,31500.0,0.2841269841269841
7IfEqKdKlG9j,toys,200.0,16.0,10.0,16.0,2560.0,0.078125
YG7qG1MQlhjp,toys,200.0,18.0,3.0,20.0,1080.0,0.18518518518518517
nS95HUh6SK36,bed_bath_table,1600.0,49.0,7.0,40.0,13720.0,0.11661807580174927
cT3PvVNqyIpQ,bed_bath_table,5350.0,40.0,16.0,50.0,32000.0,0.1671875
hoBYqNvOyd5V,housewares,30000.0,60.0,60.0,60.0,216000.0,0.1388888888888889
2oRZ0O0Cvxg1,toys,2150.0,42.0,10.0,22.0,9240.0,0.2326839826839827
UjLE7WsWfgrO,construction_tools_construction,450.0,16.0,14.0,11.0,2464.0,0.18262987012987014
nvbYOXncMsv0,toys,600.0,37.0,12.0,31.0,13764.0,0.043591979075850044
5WcLgWtO04vH,toys,400.0,20.0,2.0,15.0,600.0,0.6666666666666666
jyqvHPkDKFDV,toys,567.0,26.0,12.0,26.0,8112.0,0.06989644970414201
4BAZNq7FQZOV,toys,500.0,23.0,45.0,32.0,33120.0,0.015096618357487922
G16XPtJuiBOe,toys,150.0,16.0,4.0,13.0,832.0,0.18028846153846154
tfJojxEnA32p,toys,2200.0,40.0,15.0,30.0,18000.0,0.12222222222222222
5hqQbR7p5r2D,toys,1825.0,43.0,28.0,28.0,33712.0,0.05413502610346464
97fSQlZJl4P8,toys,900.0,30.0,8.0,23.0,5520.0,0.16304347826086957
mwlDII1pL31s,toys,6650.0,23.0,19.0,29.0,12673.0,0.5247376311844077
N9wgqW59QGza,toys,250.0,22.0,12.0,16.0,4224.0,0.059185606060606064
n3QjhUa3JbkT,toys,500.0,17.0,17.0,16.0,4624.0,0.10813148788927336
fJOMyLSpholI,toys,200.0,20.0,2.0,15.0,600.0,0.3333333333333333
DMB6KqQisnZE,toys,400.0,20.0,5.0,21.0,2100.0,0.19047619047619047
0vbEvli2JYJu,toys,1383.0,50.0,10.0,40.0,20000.0,0.06915
xl7fxh09W8xU,toys,4105.0,67.0,10.0,67.0,44890.0,0.09144575629316105
bumRSmIPLuYa,toys,14400.0,30.0,50.0,32.0,48000.0,0.3
Hh61P9XhdxJT,furniture_decor,2850.0,40.0,5.0,44.0,8800.0,0.32386363636363635
jcZ2MOqKsGsh,toys,1590.0,38.0,20.0,23.0,17480.0,0.09096109839816933
OEoHcaKHbdiB,toys,10700.0,100.0,10.0,30.0,30000.0,0.3566666666666667
Ggd3U51peXoq,electronics,175.0,22.0,11.0,16.0,3872.0,0.04519628099173554
etUc3o0rjL6e,toys,2220.0,20.0,30.0,30.0,18000.0,0.12333333333333334
lFGT2p3CDtxY,toys,200.0,22.0,3.0,15.0,990.0,0.20202020202020202
daiqbsoofbQ7,toys,150.0,17.0,8.0,12.0,1632.0,0.09191176470588236
dAz11YkQkoue,health_beauty,100.0,20.0,15.0,15.0,4500.0,0.022222222222222223
KocIrz6J906g,toys,200.0,16.0,6.0,20.0,1920.0,0.10416666666666667
xj8TsBOfCz2Q,toys,329.0,20.0,16.0,18.0,5760.0,0.057118055555555554
LEtlZnZPgiXx,toys,50.0,16.0,5.0,11.0,880.0,0.056818181818181816
dtkkSAYxncfA,toys,150.0,20.0,10.0,20.0,4000.0,0.0375
WLCpnwy0jsjj,furniture_decor,1150.0,35.0,23.0,35.0,28175.0,0.04081632653061224
qjquOwfUstem,toys,200.0,16.0,2.0,11.0,352.0,0.5681818181818182
gdZxFB7RkmeM,toys,400.0,16.0,24.0,16.0,6144.0,0.06510416666666667
RO8Eso0VLlkB,bed_bath_table,550.0,18.0,10.0,18.0,3240.0,0.1697530864197531
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0,7632.0,0.1310272536687631
BuMA9g0RCLlr,toys,450.0,16.0,7.0,11.0,1232.0,0.3652597402597403
K9inDFpRP1Y5,toys,588.0,19.0,14.0,17.0,4522.0,0.13003095975232198
sZPDopwjwXU1,auto,2450.0,30.0,30.0,30.0,27000.0,0.09074074074074075
PNxV7rsy2fgg,toys,150.0,16.0,5.0,20.0,1600.0,0.09375
XtWT6gLIlj7Q,toys,10700.0,40.0,40.0,40.0,64000.0,0.1671875
Mb037GbMfoRI,toys,800.0,100.0,5.0,20.0,10000.0,0.08
LP9yzvAzxDXy,toys,750.0,32.0,9.0,24.0,6912.0,0.10850694444444445
KDNXKv9s2evT,home_appliances,500.0,30.0,12.0,17.0,6120.0,0.08169934640522876
axLBYi1XjP6J,toys,200.0,41.0,2.0,29.0,2378.0,0.08410428931875526
YWxNxMu4wOKG,toys,1050.0,36.0,24.0,22.0,19008.0,0.05523989898989899
bdZMcl4443hh,toys,200.0,16.0,13.0,14.0,2912.0,0.06868131868131869
Djdj2b2qMgNy,toys,150.0,18.0,2.0,16.0,576.0,0.2604166666666667
4VIws8ixtz0J,toys,200.0,25.0,7.0,16.0,2800.0,0.07142857142857142
63xWgMAWpCUv,audio,250.0,16.0,5.0,11.0,880.0,0.2840909090909091
5zjlm4wGGKnH,toys,1067.0,32.0,13.0,22.0,9152.0,0.11658653846153846
ZXaWnDtFtm16,toys,1400.0,16.0,7.0,12.0,1344.0,1.0416666666666667
iqxjLw041Ngo,toys,476.0,21.0,15.0,17.0,5355.0,0.08888888888888889
77YHWauoWSee,toys,850.0,20.0,44.0,39.0,34320.0,0.024766899766899768
u7VrCV0J3rFD,toys,700.0,45.0,8.0,25.0,9000.0,0.07777777777777778
i8rOWNVCU8SG,toys,200.0,17.0,11.0,15.0,2805.0,0.07130124777183601
s284eb92Zw1i,toys,1500.0,40.0,25.0,20.0,20000.0,0.075
GrFFq2mwLHY2,toys,200.0,16.0,8.0,11.0,1408.0,0.14204545454545456
CdlzSJX6L7SM,toys,1050.0,100.0,5.0,11.0,5500.0,0.19090909090909092
M6dHMMDQkzl9,toys,7650.0,44.0,15.0,34.0,22440.0,0.3409090909090909
HsY2B64ToEjd,toys,50.0,16.0,16.0,12.0,3072.0,0.016276041666666668
8EMcxO7AFhVP,toys,180.0,17.0,10.0,13.0,2210.0,0.08144796380090498
vTrdy4RV0PS5,toys,2200.0,48.0,25.0,25.0,30000.0,0.07333333333333333
Fn43rroPPaVv,housewares,9950.0,31.0,61.0,31.0,58621.0,0.1697343955237884
IiPypLNFQJ7z,toys,50.0,42.0,9.0,25.0,9450.0,0.005291005291005291
HhAtKukEU7VT,toys,1867.0,36.0,6.0,36.0,7776.0,0.2400977366255144
KnGbtqqEcmat,toys,300.0,40.0,10.0,25.0,10000.0,0.03
wEXYeIBMtNpz,toys,1700.0,65.0,6.0,50.0,19500.0,0.08717948717948718
eJ0WKujR01gm,toys,950.0,105.0,10.0,11.0,11550.0,0.08225108225108226
JyBhiUYADnbo,toys,250.0,16.0,7.0,11.0,1232.0,0.20292207792207792
lpU3XJCPa54J,toys,523.0,20.0,16.0,17.0,5440.0,0.09613970588235295
k1G4RHt3R7Nk,toys,950.0,20.0,35.0,20.0,14000.0,0.06785714285714285
hXJzBtpOKuuU,toys,4650.0,37.0,20.0,34.0,25160.0,0.18481717011128776
Vb1H62ttvRIQ,toys,5400.0,32.0,25.0,14.0,11200.0,0.48214285714285715
1zUdSj6NFG6K,auto,450.0,20.0,15.0,15.0,4500.0,0.1
5OJOlHuoPBnC,toys,1000.0,70.0,10.0,15.0,10500.0,0.09523809523809523
Joe8cEWyRSL5,consoles_games,900.0,22.0,7.0,18.0,2772.0,0.3246753246753247
vkx2x9k5aIEp,toys,6350.0,38.0,30.0,28.0,31920.0,0.19893483709273183
PdQSW0L6zcA8,toys,150.0,16.0,12.0,15.0,2880.0,0.052083333333333336
t3Yt7rB0Siv5,construction_tools_construction,450.0,16.0,10.0,11.0,1760.0,0.2556818181818182
6qDx55OCUjhU,toys,750.0,34.0,18.0,44.0,26928.0,0.02785204991087344
Mc3HVfMW32MH,toys,214.0,18.0,15.0,15.0,4050.0,0.05283950617283951
h2L3kgHs7Aaa,toys,700.0,32.0,15.0,21.0,10080.0,0.06944444444444445
dshaRMcCMDlF,consoles_games,100.0,20.0,3.0,15.0,900.0,0.1111111111111111
kYkawOSYkfjo,watches_gifts,375.0,21.0,15.0,16.0,5040.0,0.0744047619047619
Y6z2ccr6ILTJ,toys,3300.0,60.0,18.0,50.0,54000.0,0.06111111111111111
CIzjmmwLZi9E,toys,441.0,24.0,20.0,17.0,8160.0,0.054044117647058826
0GII09WWgwUY,toys,200.0,51.0,15.0,15.0,11475.0,0.017429193899782137
UGsLZX3s5mEt,construction_tools_construction,1700.0,16.0,11.0,11.0,1936.0,0.878099173553719
W0BmO3Zth0WP,toys,650.0,24.0,10.0,20.0,4800.0,0.13541666666666666
m2BXGAfmaOtK,toys,450.0,20.0,10.0,15.0,3000.0,0.15
HheG19aBYVwJ,watches_gifts,200.0,16.0,2.0,11.0,352.0,0.5681818181818182
oszo5WkcF9hR,toys,6450.0,35.0,25.0,27.0,23625.0,0.273015873015873
d0gLt5qG6suy,toys,1200.0,32.0,28.0,13.0,11648.0,0.10302197802197802
ocSuycYd5FzD,sports_leisure,250.0,16.0,6.0,20.0,1920.0,0.13020833333333334
UtRbLGZqWe6T,furniture_decor,11850.0,74.0,8.0,74.0,43808.0,0.2704985390796202
4lnnpEh9Lojy,toys,1275.0,27.0,26.0,27.0,18954.0,0.06726812282367838
1Shu25hw8jmU,sports_leisure,150.0,16.0,16.0,11.0,2816.0,0.053267045454545456
qtlBf0tnYibE,toys,240.0,16.0,2.0,11.0,352.0,0.6818181818181818
2m67LSn6k958,toys,250.0,40.0,4.0,30.0,4800.0,0.052083333333333336
gkFvRSioMfLT,toys,237.0,16.0,16.0,16.0,4096.0,0.057861328125
qAJdy2rvA6Nv,toys,1050.0,22.0,9.0,12.0,2376.0,0.44191919191919193
6iped3gcNaVR,bed_bath_table,400.0,19.0,13.0,15.0,3705.0,0.10796221322537113
vBG3fdRC0U7J,toys,2200.0,30.0,30.0,40.0,36000.0,0.06111111111111111
6gc28NXmxjiC,toys,363.0,16.0,4.0,11.0,704.0,0.515625
Sd2c5zg8xeYS,toys,300.0,20.0,6.0,26.0,3120.0,0.09615384615384616
TznsJjXJH6cK,toys,1700.0,25.0,25.0,25.0,15625.0,0.1088
aj4kbcxNEnZj,toys,4000.0,30.0,35.0,30.0,31500.0,0.12698412698412698
yC8GTlBDlTbh,toys,550.0,40.0,7.0,50.0,14000.0,0.039285714285714285
x3MYuCDmKXil,toys,575.0,23.0,17.0,20.0,7820.0,0.07352941176470588
PNlm9wyElFNa,toys,2150.0,45.0,15.0,35.0,23625.0,0.091005291005291
U12L66pFn1Cd,toys,1050.0,38.0,10.0,38.0,14440.0,0.07271468144044321
T02sruZBYwTh,toys,250.0,40.0,4.0,30.0,4800.0,0.052083333333333336
tB2oGrkUn3T5,toys,1100.0,24.0,4.0,24.0,2304.0,0.4774305555555556
nTdYWC9EsMzL,stationery,250.0,20.0,20.0,20.0,8000.0,0.03125
tyfmRC7KLE75,toys,5650.0,40.0,20.0,40.0,32000.0,0.1765625
frPceaQ1oVol,toys,100.0,80.0,10.0,60.0,48000.0,0.0020833333333333333
SGzn0iArTwMr,garden_tools,9100.0,42.0,13.0,39.0,21294.0,0.42735042735042733
9Zkcb7CHJ7oF,toys,2800.0,50.0,10.0,40.0,20000.0,0.14
QQh3add5yA42,toys,250.0,25.0,7.0,14.0,2450.0,0.10204081632653061
Y3eayqO8aOXQ,toys,850.0,38.0,10.0,38.0,14440.0,0.05886426592797784
Frot5FLjBR6q,toys,175.0,20.0,20.0,20.0,8000.0,0.021875
Q4YJxJB0FmME,furniture_living_room,2700.0,47.0,6.0,47.0,13254.0,0.2037120869171571
nleYDnRljyRR,toys,800.0,23.0,3.0,16.0,1104.0,0.7246376811594203
ZahOFsDsu0qC,toys,2700.0,87.0,10.0,30.0,26100.0,0.10344827586206896
a4eRSJHIpAKf,toys,300.0,40.0,4.0,30.0,4800.0,0.0625
xczz8pBAGbiX,sports_leisure,300.0,19.0,2.0,12.0,456.0,0.6578947368421053
yNiC4LvaTd1R,toys,153.0,14.0,14.0,12.0,2352.0,0.06505102040816327
sDiRdnCZMwRY,toys,550.0,27.0,10.0,15.0,4050.0,0.13580246913580246
Hqi3PlXungqO,toys,2400.0,40.0,20.0,20.0,16000.0,0.15
nPKBktJfW1Fl,toys,150.0,16.0,2.0,11.0,352.0,0.42613636363636365
PwoiOjyJfSJK,bed_bath_table,400.0,20.0,2.0,15.0,600.0,0.6666666666666666
EsjZXaqqL5SG,toys,500.0,19.0,11.0,20.0,4180.0,0.11961722488038277
pIsDRb4xbzyD,watches_gifts,350.0,16.0,14.0,11.0,2464.0,0.14204545454545456
YwgHNvscHjW0,toys,167.0,17.0,16.0,16.0,4352.0,0.038373161764705885
i10BtlKMkpvy,toys,442.0,20.0,19.0,17.0,6460.0,0.06842105263157895
JWWerUz4sUOi,toys,450.0,16.0,21.0,20.0,6720.0,0.06696428571428571
8IhgV2nH9kXE,health_beauty,700.0,25.0,12.0,19.0,5700.0,0.12280701754385964
RIeB1nlwkWYV,toys,400.0,29.0,36.0,15.0,15660.0,0.02554278416347382
S5shnnygPs0S,bed_bath_table,400.0,20.0,20.0,20.0,8000.0,0.05
GntEBdL0e4AR,bed_bath_table,250.0,16.0,15.0,15.0,3600.0,0.06944444444444445
8o27iVPsjrvn,computers_accessories,200.0,20.0,20.0,20.0,8000.0,0.025
sZ5wMb8HMu6M,toys,300.0,20.0,4.0,18.0,1440.0,0.20833333333333334
KbN9lsh9uJef,garden_tools,150.0,16.0,2.0,11.0,352.0,0.42613636363636365
pG4lRZB6FT1o,housewares,2350.0,25.0,30.0,25.0,18750.0,0.12533333333333332
6kzsO3fAg0UT,toys,1700.0,20.0,24.0,30.0,14400.0,0.11805555555555555
Ffe8gTdmyO3U,toys,533.0,22.0,11.0,20.0,4840.0,0.11012396694214877
uXqtt8FPcOSE,auto,500.0,16.0,5.0,11.0,880.0,0.5681818181818182
PWl2yBtu82h0,perfumery,250.0,20.0,8.0,21.0,3360.0,0.0744047619047619
P7YmM1JrfxgO,computers_accessories,800.0,35.0,12.0,15.0,6300.0,0.12698412698412698
MnU1humwDAEV,toys,2450.0,41.0,8.0,36.0,11808.0,0.20748644986449866
ij9mTh09IZhj,toys,2100.0,35.0,9.0,25.0,7875.0,0.26666666666666666
IxSYqX7LMxEm,toys,4850.0,61.0,15.0,58.0,53070.0,0.0913887318635764
TKNiFZxm7gs7,toys,350.0,16.0,2.0,20.0,640.0,0.546875
fXpxCuz3DlnE,toys,1350.0,30.0,5.0,20.0,3000.0,0.45
VrCYTXjnNAL1,toys,1100.0,37.0,6.0,27.0,5994.0,0.18351685018351685
VBy6T8nuWyMy,auto,50.0,17.0,10.0,15.0,2550.0,0.0196078431372549
KOdBiBN6BdOW,toys,150.0,19.0,10.0,15.0,2850.0,0.05263157894736842
B8QmdTHBBm2r,toys,600.0,16.0,14.0,14.0,3136.0,0.1913265306122449
JXxZvMEQwVdy,toys,50.0,17.0,3.0,12.0,612.0,0.08169934640522876
GKdOuHdQrcS9,kitchen_dining_laundry_garden_furniture,975.0,41.0,12.0,12.0,5904.0,0.16514227642276422
pZaSE0Kq83mh,toys,533.0,52.0,6.0,40.0,12480.0,0.042708333333333334
fF0aIgV1Szz2,toys,17400.0,63.0,58.0,26.0,95004.0,0.18315018315018314
Dpy0ivGUIZbf,toys,275.0,23.0,11.0,16.0,4048.0,0.06793478260869565
mLW3e88htVUA,toys,600.0,25.0,10.0,25.0,6250.0,0.096
W11EKjDhLU8S,home_appliances,100.0,18.0,8.0,13.0,1872.0,0.053418803418803416
oUaq0Emczjrp,toys,175.0,23.0,21.0,21.0,10143.0,0.01725327812284334
ilTOySUJeryQ,toys,2700.0,60.0,15.0,15.0,13500.0,0.2
cPxHctjb1mwb,toys,150.0,22.0,3.0,15.0,990.0,0.15151515151515152
MCpcB88Db8FO,toys,1500.0,45.0,15.0,35.0,23625.0,0.06349206349206349
VyvqSoUrvQ46,toys,363.0,18.0,13.0,13.0,3042.0,0.11932938856015779
5p34yHlx2OtC,toys,800.0,42.0,8.0,26.0,8736.0,0.09157509157509157
hqX5zybakKuo,housewares,800.0,30.0,40.0,30.0,36000.0,0.022222222222222223
rpc533nr2KMl,toys,850.0,20.0,9.0,14.0,2520.0,0.3373015873015873
SGGufQjkuu50,furniture_decor,650.0,20.0,35.0,20.0,14000.0,0.04642857142857143
d77sYHwrvNb6,consoles_games,700.0,26.0,12.0,18.0,5616.0,0.12464387464387465
MaltNz8KU4y1,bed_bath_table,2650.0,46.0,8.0,38.0,13984.0,0.18950228832951946
jkF9uiOYSJQv,toys,650.0,28.0,9.0,14.0,3528.0,0.18424036281179137
HClWJt2zIHqw,toys,4100.0,40.0,37.0,29.0,42920.0,0.09552656104380243
plejCSAfHfj4,toys,1100.0,20.0,20.0,20.0,8000.0,0.1375
uhU6v99z0kXK,bed_bath_table,1400.0,40.0,10.0,30.0,12000.0,0.11666666666666667
4tXRIqqJAw5t,cool_stuff,1650.0,33.0,44.0,19.0,27588.0,0.05980861244019139
ILJ1czl5oREZ,toys,1092.0,27.0,27.0,23.0,16767.0,0.06512792986222937
UpBx9hw8qVhN,toys,5450.0,23.0,24.0,23.0,12696.0,0.4292690611216131
8lFcvo9C9wbB,fashion_bags_accessories,300.0,20.0,10.0,20.0,4000.0,0.075
fdKNYBPuPnsg,toys,250.0,22.0,5.0,15.0,1650.0,0.15151515151515152
hGtmCHbSVQ4G,furniture_decor,5700.0,40.0,30.0,40.0,48000.0,0.11875
p8szMBFqPyIE,housewares,700.0,30.0,30.0,30.0,27000.0,0.025925925925925925
0Rv9bIApkexA,toys,2050.0,90.0,8.0,15.0,10800.0,0.18981481481481483
bpqNyuI195P5,toys,100.0,21.0,9.0,13.0,2457.0,0.0407000407000407
CsjdvHqLmAxc,toys,950.0,16.0,30.0,27.0,12960.0,0.07330246913580248
ua99TuLWOUSc,market_place,175.0,17.0,10.0,19.0,3230.0,0.05417956656346749
9d6vkyKPUKTm,toys,10600.0,78.0,4.0,47.0,14664.0,0.7228587015821059
mVm1INynZf3d,toys,350.0,16.0,25.0,11.0,4400.0,0.07954545454545454
CpeCg2UGCL6P,toys,250.0,40.0,4.0,30.0,4800.0,0.052083333333333336
3hr001otfd42,toys,150.0,18.0,20.0,11.0,3960.0,0.03787878787878788
oGoQE6pH8wMX,toys,300.0,104.0,4.0,20.0,8320.0,0.036057692307692304
lk149m5QGyX9,health_beauty,1600.0,50.0,16.0,40.0,32000.0,0.05
BGJSKvvLAPkO,toys,325.0,21.0,8.0,17.0,2856.0,0.11379551820728291
qlb3txU8IQ7W,toys,775.0,34.0,9.0,33.0,10098.0,0.07674787086551793
H9bNMpRahUKq,toys,1850.0,16.0,10.0,16.0,2560.0,0.72265625
GkKwbXbTsUcZ,toys,1400.0,43.0,5.0,30.0,6450.0,0.21705426356589147
KIYt8ODpiQyI,toys,550.0,16.0,7.0,11.0,1232.0,0.44642857142857145
y2j8hYmi4AVK,housewares,1800.0,30.0,30.0,30.0,27000.0,0.06666666666666667
n7Cpn4dSlDZn,toys,515.0,39.0,11.0,25.0,10725.0,0.04801864801864802
tEjoHkDlwfgW,toys,450.0,17.0,3.0,11.0,561.0,0.8021390374331551
9RgMq5eVloUQ,toys,1200.0,42.0,25.0,15.0,15750.0,0.0761904761904762
1gi8qMFFJtiv,watches_gifts,233.0,17.0,11.0,15.0,2805.0,0.08306595365418895
Rtm1uWckrdIP,toys,950.0,35.0,6.0,45.0,9450.0,0.10052910052910052
C0ZV4wrnC7a9,home_appliances,4550.0,27.0,13.0,17.0,5967.0,0.7625272331154684
BFpdkwndpvo8,toys,2050.0,60.0,10.0,40.0,24000.0,0.08541666666666667
Rr4bjc79Exdc,toys,1575.0,26.0,21.0,23.0,12558.0,0.1254180602006689
ii8N1s7yzFym,toys,10250.0,35.0,50.0,35.0,61250.0,0.1673469387755102
p9owG1LeMQyo,toys,2100.0,30.0,24.0,25.0,18000.0,0.11666666666666667
V538EPE0kKPC,stationery,1500.0,60.0,20.0,29.0,34800.0,0.04310344827586207
Biwi1BNtUB7l,toys,1500.0,30.0,22.0,30.0,19800.0,0.07575757575757576
diXfR20Ry7N3,computers_accessories,200.0,20.0,15.0,15.0,4500.0,0.044444444444444446
xd1uzxed845G,toys,9200.0,53.0,52.0,17.0,46852.0,0.19636301545291557
DwqOXp6wWYBc,toys,300.0,16.0,8.0,11.0,1408.0,0.21306818181818182
Cjq4di8arIUK,toys,200.0,16.0,16.0,16.0,4096.0,0.048828125
i3RR3rlzZnM1,computers_accessories,300.0,22.0,5.0,16.0,1760.0,0.17045454545454544
vMNkrbsMMk0s,toys,300.0,16.0,9.0,11.0,1584.0,0.1893939393939394
9SSBohAQrOts,toys,700.0,60.0,7.0,11.0,4620.0,0.15151515151515152
gero47msJAuH,toys,4100.0,20.0,15.0,13.0,3900.0,1.0512820512820513
EG4wDSpFyTth,health_beauty,250.0,22.0,10.0,18.0,3960.0,0.06313131313131314
h0c562VfTzH1,toys,1200.0,30.0,30.0,30.0,27000.0,0.044444444444444446
m9lIuV6TOthi,toys,517.0,39.0,11.0,13.0,5577.0,0.09270216962524655
Ycoiqp2LnndQ,toys,250.0,16.0,11.0,11.0,1936.0,0.12913223140495866
Gvk6GWtgVh4r,toys,887.0,30.0,22.0,20.0,13200.0,0.0671969696969697
T4RytrhXe0AL,toys,2600.0,36.0,13.0,36.0,16848.0,0.15432098765432098
THGXRZufUKBc,toys,700.0,16.0,17.0,16.0,4352.0,0.16084558823529413
cyCC0fkLmcqw,toys,513.0,19.0,15.0,18.0,5130.0,0.1
YNIpoyuyWPht,furniture_decor,7300.0,30.0,20.0,70.0,42000.0,0.1738095238095238
CiqlffKEv9bE,sports_leisure,13500.0,70.0,30.0,40.0,84000.0,0.16071428571428573
24AgwBMFEDBG,toys,480.0,18.0,11.0,14.0,2772.0,0.17316017316017315
